Czas,Kierunek,Protokol,Zrodlo IP,Zrodlo port,Cel IP,Cel port,Dlugosc,Kategoria
2005-01-14 02:50:16.501471,Inne,UDP,192.168.1.3,1393,192.168.1.1,53,84,DNS
2005-01-14 02:50:16.504144,Inne,UDP,192.168.1.1,53,192.168.1.3,1393,112,DNS
2005-01-14 02:50:17.600303,Wychodzace,TCP,192.168.1.2,1026,140.112.253.189,22604,96,Inne
2005-01-14 02:50:19.113417,Inne,UDP,192.168.1.3,1394,192.168.1.1,53,75,DNS
2005-01-14 02:50:19.131199,Inne,UDP,192.168.1.1,53,192.168.1.3,1394,75,DNS
2005-01-14 02:50:19.132818,Inne,UDP,192.168.1.3,1395,192.168.1.1,53,71,DNS
2005-01-14 02:50:19.442482,Inne,UDP,192.168.1.1,53,192.168.1.3,1395,87,DNS
2005-01-14 02:50:41.977621,Przychodzace,TCP,192.168.1.3,1396,192.168.1.2,53,62,DNS
2005-01-14 02:50:41.979157,Przychodzace,TCP,192.168.1.3,1396,192.168.1.2,53,102,DNS
2005-01-14 02:50:41.980806,Wychodzace,TCP,192.168.1.2,53,192.168.1.3,1396,102,DNS
2005-01-14 02:50:41.981729,Przychodzace,TCP,192.168.1.3,1396,192.168.1.2,53,60,DNS
2005-01-14 02:50:41.981746,Wychodzace,TCP,192.168.1.2,53,192.168.1.3,1396,62,DNS
2005-01-14 02:50:41.983172,Przychodzace,TCP,192.168.1.3,1396,192.168.1.2,53,94,DNS
2005-01-14 02:50:42.039309,Wychodzace,TCP,192.168.1.2,53,192.168.1.3,1396,182,DNS
2005-01-14 02:50:42.040365,Wychodzace,TCP,192.168.1.2,53,192.168.1.3,1396,142,DNS
2005-01-14 02:50:42.182595,Przychodzace,TCP,192.168.1.3,1396,192.168.1.2,53,60,DNS
2005-01-14 02:50:42.200502,Przychodzace,TCP,192.168.1.3,1396,192.168.1.2,53,94,DNS
2005-01-14 02:50:44.334418,Przychodzace,TCP,192.168.1.3,1396,192.168.1.2,53,60,DNS
2005-01-14 02:50:44.351385,Przychodzace,TCP,192.168.1.3,1396,192.168.1.2,53,98,DNS
2005-01-14 02:50:44.369608,Wychodzace,TCP,192.168.1.2,53,192.168.1.3,1396,295,DNS
2005-01-14 02:50:44.370919,Wychodzace,TCP,192.168.1.2,53,192.168.1.3,1396,255,DNS
2005-01-14 02:50:44.485905,Przychodzace,TCP,192.168.1.3,1396,192.168.1.2,53,60,DNS
2005-01-14 02:50:44.502308,Przychodzace,TCP,192.168.1.3,1396,192.168.1.2,53,94,DNS
2005-01-14 02:50:44.505662,Wychodzace,TCP,192.168.1.2,53,192.168.1.3,1396,1105,DNS
2005-01-14 02:50:44.508420,Wychodzace,TCP,192.168.1.2,53,192.168.1.3,1396,1065,DNS
2005-01-14 02:50:44.686211,Przychodzace,TCP,192.168.1.3,1396,192.168.1.2,53,60,DNS
2005-01-14 02:50:44.702807,Przychodzace,TCP,192.168.1.3,1396,192.168.1.2,53,94,DNS
2005-01-14 02:50:47.268247,Przychodzace,TCP,192.168.1.3,1396,192.168.1.2,53,60,DNS
2005-01-14 02:50:47.284740,Przychodzace,TCP,192.168.1.3,1396,192.168.1.2,53,99,DNS
2005-01-14 02:50:47.288733,Wychodzace,TCP,192.168.1.2,53,192.168.1.3,1396,94,DNS
2005-01-14 02:50:47.289664,Wychodzace,TCP,192.168.1.2,53,192.168.1.3,1396,54,DNS
2005-01-14 02:51:04.959352,Przychodzace,TCP,192.168.1.3,1399,192.168.1.2,21,62,FTP
2005-01-14 02:51:04.975653,Przychodzace,TCP,192.168.1.3,1399,192.168.1.2,21,102,FTP
2005-01-14 02:51:04.976917,Wychodzace,TCP,192.168.1.2,21,192.168.1.3,1399,94,FTP
2005-01-14 02:51:04.977815,Wychodzace,TCP,192.168.1.2,21,192.168.1.3,1399,54,FTP
2005-01-14 02:51:05.416004,Przychodzace,TCP,192.168.1.3,1399,192.168.1.2,21,62,FTP
2005-01-14 02:51:05.420811,Przychodzace,TCP,192.168.1.3,1399,192.168.1.2,21,102,FTP
2005-01-14 02:51:05.422069,Wychodzace,TCP,192.168.1.2,21,192.168.1.3,1399,94,FTP
2005-01-14 02:51:05.422896,Wychodzace,TCP,192.168.1.2,21,192.168.1.3,1399,54,FTP
2005-01-14 02:51:05.436121,Przychodzace,TCP,205.227.136.203,443,192.168.1.2,1109,240,HTTPS
2005-01-14 02:51:05.438515,Wychodzace,TCP,192.168.1.2,1109,205.227.136.203,443,161,HTTPS
2005-01-14 02:51:05.440682,Wychodzace,TCP,192.168.1.2,1109,205.227.136.203,443,768,HTTPS
2005-01-14 02:51:05.916733,Przychodzace,TCP,192.168.1.3,1399,192.168.1.2,21,62,FTP
2005-01-14 02:51:05.932929,Przychodzace,TCP,192.168.1.3,1399,192.168.1.2,21,102,FTP
2005-01-14 02:51:05.933959,Wychodzace,TCP,192.168.1.2,21,192.168.1.3,1399,94,FTP
2005-01-14 02:51:05.934877,Wychodzace,TCP,192.168.1.2,21,192.168.1.3,1399,54,FTP
2005-01-14 02:51:10.170173,Przychodzace,TCP,192.168.1.3,1402,192.168.1.2,21,62,FTP
2005-01-14 02:51:10.186786,Przychodzace,TCP,192.168.1.3,1402,192.168.1.2,21,102,FTP
2005-01-14 02:51:10.188586,Wychodzace,TCP,192.168.1.2,21,192.168.1.3,1402,94,FTP
2005-01-14 02:51:10.189496,Wychodzace,TCP,192.168.1.2,21,192.168.1.3,1402,54,FTP
2005-01-14 02:51:10.623508,Przychodzace,TCP,192.168.1.3,1402,192.168.1.2,21,62,FTP
2005-01-14 02:51:10.640185,Przychodzace,TCP,192.168.1.3,1402,192.168.1.2,21,102,FTP
2005-01-14 02:51:10.641587,Wychodzace,TCP,192.168.1.2,21,192.168.1.3,1402,94,FTP
2005-01-14 02:51:10.642480,Wychodzace,TCP,192.168.1.2,21,192.168.1.3,1402,54,FTP
2005-01-14 02:51:11.124320,Przychodzace,TCP,192.168.1.3,1402,192.168.1.2,21,62,FTP
2005-01-14 02:51:11.140951,Przychodzace,TCP,192.168.1.3,1402,192.168.1.2,21,102,FTP
2005-01-14 02:51:11.142538,Wychodzace,TCP,192.168.1.2,21,192.168.1.3,1402,94,FTP
2005-01-14 02:51:11.143474,Wychodzace,TCP,192.168.1.2,21,192.168.1.3,1402,54,FTP
2005-01-14 02:51:29.587007,Wychodzace,TCP,192.168.1.2,1108,83.170.75.178,80,94,HTTP
2005-01-14 02:51:29.588791,Przychodzace,TCP,83.170.75.178,80,192.168.1.2,1108,1546,HTTP
2005-01-14 02:51:29.591993,Przychodzace,TCP,83.170.75.178,80,192.168.1.2,1108,1546,HTTP
2005-01-14 02:51:29.595033,Wychodzace,TCP,192.168.1.2,1108,83.170.75.178,80,94,HTTP
2005-01-14 02:51:29.603064,Przychodzace,TCP,83.170.75.178,80,192.168.1.2,1108,110,HTTP
2005-01-14 02:51:29.631766,Wychodzace,TCP,192.168.1.2,1110,83.170.75.178,80,106,HTTP
