ts,fuid,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,source,depth,analyzers,duration,local_orig,is_orig,seen_bytes,missing_bytes,overflow_bytes,timedout,total_bytes,mime_type,filename,podejrzany_typ
1428883209.573831,Fu5jRv37yOeFekKCfd,C9btRy8gaCgVLMre5,192.168.0.54,52358,198.199.14.10,80,HTTP,0,[],0.19704389572143502,False,False,27150,0,0,False,,,,Nie
1428883442.588073,FOFu3O29OojeCcWq41,Cv27M71TSG580eoq62,192.168.0.54,52361,198.199.14.134,80,HTTP,0,[],0.0,False,False,93,0,0,False,93.0,,,Nie
1428884808.485307,FJjEgy2hxXt70U28Zd,C674eo0ZzemlU6NF1,192.168.0.51,47725,173.194.40.242,80,HTTP,0,[],0.0,False,False,341,0,0,False,,text/plain,,Nie
1428884808.54811,F0epFc3nkwOwQZg659,C674eo0ZzemlU6NF1,192.168.0.51,47725,173.194.40.242,80,HTTP,0,[],2.5033950805000002e-05,False,False,1484,0,0,False,1484.0,image/jpeg,,Nie
1428885436.652765,Fdjb2b2TRXDmV9mwld,C36YIw1k1IIoerty98,192.168.0.54,52398,137.116.224.167,443,SSL,0,['OCSP_REPLY'],0.0,False,False,1757,0,0,False,,application/ocsp-response,,Nie
1428885558.884998,FVGfZi3qbPzjIC9wS7,C41YNZzHtmNl3SJI3,61.240.144.64,60000,192.168.0.2,80,HTTP,0,[],24.000707864761353,True,False,926,0,0,False,1041.0,text/html,,Nie
1428886221.127393,F8KN1d4ai3aqKKSJ5,CTZCfq49F3MblM1y38,192.168.0.54,52420,157.56.114.104,80,HTTP,0,[],0.0,False,False,9,0,0,False,9.0,,,Nie
1428886502.982802,FmG1Ft2RbsWL19qcXf,CHUx4n1g3bawGulC96,192.168.0.54,52426,198.199.14.134,80,HTTP,0,[],0.0,False,False,93,0,0,False,93.0,,,Nie
1428886548.96393,F76r8g1zDbUo2V1rE4,ClKbMFbUxbJPDMr1h,192.168.0.51,47731,173.194.40.242,80,HTTP,0,[],0.0,False,False,341,0,0,False,,text/plain,,Nie
1428886549.481253,FJfjGgQ1svmEhXr2f,ClKbMFbUxbJPDMr1h,192.168.0.51,47731,173.194.40.242,80,HTTP,0,[],0.0,False,False,1602,0,0,False,1602.0,image/jpeg,,Nie
1428886990.438755,FfrEKR1f5r4ykLYo3g,CiWDId4gaTKn78f6yc,192.168.0.54,52435,198.199.14.10,80,HTTP,0,[],0.207037925720214,False,False,27150,0,0,False,,,,Nie
1428887386.140642,FPQL8NTs6o9lgdXtk,CgoYcZ3LoHEyQp0sJb,192.168.0.54,52448,198.199.14.134,80,HTTP,0,[],0.006024122238159,False,False,14114,0,0,False,,,,Nie
1428888289.762788,FKgzKO1ye36LrXAfDd,C7mLKx4qQfVM4GgPJb,192.168.0.51,33186,74.125.232.115,80,HTTP,0,[],0.0,False,False,341,0,0,False,,text/plain,,Nie
1428888289.815734,Fnh63e4ihyRKyPjcvf,C7mLKx4qQfVM4GgPJb,192.168.0.51,33186,74.125.232.115,80,HTTP,0,[],0.00023913383483800002,False,False,3850,0,0,False,3850.0,image/jpeg,,Nie
1428889037.463032,F8w2uA741IpPC2dc2,CoORLZbyrPW1iKwfh,192.168.0.54,52478,137.116.224.167,443,SSL,0,['OCSP_REPLY'],0.0,False,False,1757,0,0,False,,application/ocsp-response,,Nie
1428890030.081258,FlBP1KRyEOSKUS3W,CoyxEy4KiHWkdtOBXh,192.168.0.51,33192,74.125.232.115,80,HTTP,0,[],0.0,False,False,341,0,0,False,,text/plain,,Nie
1428890771.05936,FkZqyE2LoguijQitzf,CISA2e2ZyI7jNeZEx9,192.168.0.54,52516,198.199.14.10,80,HTTP,0,[],0.22555398941040003,False,False,27150,0,0,False,,,,Nie
1428891003.292554,FnwQNH3KL8XyJhenAi,CkDpr13xYziY3jgVH4,192.168.0.54,52524,198.199.14.134,80,HTTP,0,[],0.0,False,False,93,0,0,False,93.0,,,Nie
1428891770.640188,FjuBXM1L9pCGjb7bKc,CuGO1C3miPaxadncCi,192.168.0.51,33198,74.125.232.115,80,HTTP,0,[],0.0,False,False,341,0,0,False,,text/plain,,Nie
