ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,trans_depth,method,host,uri,version,request_body_len,response_body_len,status_code,status_msg,tags,resp_fuids,user_agent,referrer,resp_mime_types,orig_fuids,orig_mime_types,resp_filenames,podejrzany_user_agent,podejrzany_uri
1428883209.366473,C9btRy8gaCgVLMre5,192.168.0.54,52358,198.199.14.10,80,1,GET,www.wajam.com,/webenhancer/config?v=d1.4.1.5&os_mj=6&os_mn=1&os_bitness=64&mid=f06847d131a21bb534bd07962f92bd3e&uid=942E7E7368DAADD6C1330C564D1D3954&aid=9860&aid2=none&ts=1426247458&ts2=,1.1,0,27150,200.0,OK,[],['Fu5jRv37yOeFekKCfd'],,,,,,,Nie,Tak
1428883442.40721,Cv27M71TSG580eoq62,192.168.0.54,52361,198.199.14.134,80,1,GET,www.technologieduluth.com,"/webenhancer/update?v=d1.4.1.5&os_mj=6&os_mn=1&os_bitness=64&mid=f06847d131a21bb534bd07962f92bd3e&uid=942E7E7368DAADD6C1330C564D1D3954&aid=9860&aid2=none&ts=1426247458&ts2=&retry_count=0&retry_version=&sc=1&scfr=&avs=0,0,0,0,0,0,0,0,0,0,0",1.1,0,93,200.0,OK,[],['FOFu3O29OojeCcWq41'],,,,,,,Nie,Nie
1428883577.306602,C40Pzi4a2ve0QBFuN7,192.168.0.53,3010,192.168.0.1,8080,1,SUBSCRIBE,192.168.0.1:8080,/WANCommonInterfaceConfig,1.1,0,0,200.0,OK,[],,Mozilla/4.0 (compatible; UPnP/1.0; Windows 9x),,,,,,Nie,Nie
1428883578.43135,CYheYlUdZFhUyPNE,192.168.0.53,3011,192.168.0.1,8080,1,SUBSCRIBE,192.168.0.1:8080,/WANIPConnection,1.1,0,0,200.0,OK,[],,Mozilla/4.0 (compatible; UPnP/1.0; Windows 9x),,,,,,Nie,Nie
1428884747.332048,C4gidm27CtPBVEeRhc,192.168.0.53,3023,192.168.0.1,8080,1,SUBSCRIBE,192.168.0.1:8080,/WANCommonInterfaceConfig,1.1,0,0,200.0,OK,[],,Mozilla/4.0 (compatible; UPnP/1.0; Windows 9x),,,,,,Nie,Nie
1428884748.456433,Cic8nm2thXdCsWIX8,192.168.0.53,3024,192.168.0.1,8080,1,SUBSCRIBE,192.168.0.1:8080,/WANIPConnection,1.1,0,0,200.0,OK,[],,Mozilla/4.0 (compatible; UPnP/1.0; Windows 9x),,,,,,Nie,Nie
1428884808.219584,C674eo0ZzemlU6NF1,192.168.0.51,47725,173.194.40.242,80,1,GET,www.google.com,"/recaptcha/api/reload?c=03AHJ_Vuvgfc3TK2gfM9_DJQ8GqWKDOG77sl0Sdty0KnROn1DxbRbhwcH3px6JmQPX64RDrPXCUdZXNLrHOt-fx7cnB184nEhCHUB96kriGbyEmmdK2ibhprdpDiD14rcHL46Bk4Rr2roK7N3F4kNcwF-1lVo7aLa2-_QDG8QmQOLKoak-7gr9OGVicrM4djimcBoJdNx7m6Onvu5zDqCHPttxBvuEsbVjklCRrfaPv6zrmOjgmkx_-2GYVSdki5_vZzdqky5btEp_-eWAOg85LOGCqqQqcKMbrw&k=6LdzYN4SAAAAAEZIKBG_PKLJlSAaMBMeODFH2jxE&reason=t&type=image&lang=sv&th=,dIWw0d79G94tC0y2WwlwZY4S2v3wAAAAEaAAAAAE2AC7_t7PdnOf4Z9QkDZHo-S7UyNllxAf-gkllmYq0Ze7aG8nM4iSBCAwrJGjU6dtE02_cDukcEwjqPGZA5zaNif4zgM95JRVJt0_9ZJi4vrjmJyS-vl48D5iJ8oryXuxig-IDjK-STnzYu3-Nubv0fZ5zxrnicG0iQaGmFSbvJ2uXlQg2n3D7bUUVlmvrCQ6c6UOe2hyPrkUC7OZMhxJiP89dKK3rZSj9gEhxij72rQ3gJaWrP8OU76Y8x9yzQ",1.1,0,341,200.0,OK,[],['FJjEgy2hxXt70U28Zd'],Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,http://www.barracudacentral.org/lookups/lookup-reputation,['text/plain'],,,,Nie,Nie
1428884808.50951,C674eo0ZzemlU6NF1,192.168.0.51,47725,173.194.40.242,80,2,GET,www.google.com,"/recaptcha/api/image?c=03AHJ_VusdzEJb1GvhVJsaL_NuE2NauNSbMuCrftRG_z7VNohwgegX_n55A3zaILa-WlhnsQ3jliGd2HJB9nXv97nlvSfQBFbu2An2ec5cPyfO9lS7WUJr4obxtF53-8ORahkfYAdfr1Vtgsk6ZAxSuZyjzumKHMDrpC1XjUfAikDjJmJ5XUUMtNUKOzcj27f2pcJIku6brEG5j3l3nch4jN5HeEXKTs7cy5ZlJNXn0B4kNEML6QUPkRKXYTymfuI1WbeEQt5E5f40cdqgLWnnScL7Ru3S6MvVUg&th=,RbSw0d79G94tC0y2WwlwZY4S2v3wAAAAEaAAAAAD2AC7_t7PdnOf4Z9QkDZHo-S7UyNllxAf-gkllmYq0Ze7aG8nM4iSBCAwrJGjU6dtE02_cDukcEwjqPGZA5zaNif4zgM95JRVJt0_9ZJi4vrjmJyS-vl48D5iJ8oryXuxig-IDjK-STnzYu3-Nubv0fZ5zxrnicG0iQaGmFSbvJ2uXlQg2n3D7bUUVlmvrCQ6c6UOe2hyPrkUC7OZMhxJiP89dKK3rZSj9gEhxij72rQ3gJairP8OUjfKaW7cZA",1.1,0,1484,200.0,OK,[],['F0epFc3nkwOwQZg659'],Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,http://www.barracudacentral.org/lookups/lookup-reputation,['image/jpeg'],,,,Nie,Nie
1428885467.048978,CqYsBV2jAdKQhfJns5,192.168.0.54,52400,80.239.217.137,80,1,GET,crl.microsoft.com,/pki/crl/products/CodeSigPCA.crl,1.1,0,0,304.0,Not Modified,[],,Microsoft-CryptoAPI/6.1,,,,,,Nie,Nie
1428885467.118808,CqYsBV2jAdKQhfJns5,192.168.0.54,52400,80.239.217.137,80,2,GET,crl.microsoft.com,/pki/crl/products/WinPCA.crl,1.1,0,0,304.0,Not Modified,[],,Microsoft-CryptoAPI/6.1,,,,,,Nie,Nie
1428885467.188405,CqYsBV2jAdKQhfJns5,192.168.0.54,52400,80.239.217.137,80,3,GET,crl.microsoft.com,/pki/crl/products/microsoftrootcert.crl,1.1,0,0,304.0,Not Modified,[],,Microsoft-CryptoAPI/6.1,,,,,,Nie,Nie
1428885558.88458,C41YNZzHtmNl3SJI3,61.240.144.64,60000,192.168.0.2,80,1,GET,,/,1.1,0,926,200.0,OK,[],['FVGfZi3qbPzjIC9wS7'],masscan/1.0 (https://github.com/robertdavidgraham/masscan),,['text/html'],,,,Nie,Nie
1428885917.356637,CUjOeP37C9lXUxB6P6,192.168.0.53,3037,192.168.0.1,8080,1,SUBSCRIBE,192.168.0.1:8080,/WANCommonInterfaceConfig,1.1,0,0,200.0,OK,[],,Mozilla/4.0 (compatible; UPnP/1.0; Windows 9x),,,,,,Nie,Nie
1428885918.48125,C0Zc7S1jaotByMqTx,192.168.0.53,3038,192.168.0.1,8080,1,SUBSCRIBE,192.168.0.1:8080,/WANIPConnection,1.1,0,0,200.0,OK,[],,Mozilla/4.0 (compatible; UPnP/1.0; Windows 9x),,,,,,Nie,Nie
1428886221.070439,CTZCfq49F3MblM1y38,192.168.0.54,52420,157.56.114.104,80,1,GET,ui.skype.com,/ui/0/7.2.0.103./en/getlatestversion?ver=7.2.0.103&uhash=1fdc256726fe284b6b490bfa128de6f14,1.1,0,9,200.0,OK,[],['F8KN1d4ai3aqKKSJ5'],Skype\x99 7.2,,,,,,Nie,Nie
1428886502.804742,CHUx4n1g3bawGulC96,192.168.0.54,52426,198.199.14.134,80,1,GET,www.technologieduluth.com,"/webenhancer/update?v=d1.4.1.5&os_mj=6&os_mn=1&os_bitness=64&mid=f06847d131a21bb534bd07962f92bd3e&uid=942E7E7368DAADD6C1330C564D1D3954&aid=9860&aid2=none&ts=1426247458&ts2=&retry_count=0&retry_version=&sc=1&scfr=&avs=0,0,0,0,0,0,0,0,0,0,0",1.1,0,93,200.0,OK,[],['FmG1Ft2RbsWL19qcXf'],,,,,,,Nie,Nie
