ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,name,notice,peer,source,addl
1428886073.207912,CJOHvn3dNbfoVh2R48,86.156.125.41,52550,192.168.0.2,80,bad_HTTP_request,False,zeek,HTTP,
1428892855.358024,CVj7Uz34eIXtI4ydZh,192.168.0.53,3110,190.36.51.201,8080,bad_HTTP_request,False,zeek,HTTP,
1428892855.358024,CVj7Uz34eIXtI4ydZh,192.168.0.53,3110,190.36.51.201,8080,line_terminated_with_single_CR,False,zeek,CONTENTLINE,
1428892856.363778,C0kBIPGnRFuTtfB1h,192.168.0.53,3111,50.56.242.72,80,bad_HTTP_request,False,zeek,HTTP,
1428892856.601309,C5RQGu1SaGGCuubw28,192.168.0.53,3112,181.134.158.237,80,bad_HTTP_request,False,zeek,HTTP,
1428892856.601309,C5RQGu1SaGGCuubw28,192.168.0.53,3112,181.134.158.237,80,line_terminated_with_single_CR,False,zeek,CONTENTLINE,
1428892869.055878,CVZYJ82IEZeIVBs9Ld,192.168.0.53,3121,107.131.28.185,80,bad_HTTP_request,False,zeek,HTTP,
1428892869.055878,CVZYJ82IEZeIVBs9Ld,192.168.0.53,3121,107.131.28.185,80,line_terminated_with_single_CR,False,zeek,CONTENTLINE,
1428892910.798653,CM5Rsu2xWBCwitHGhk,192.168.0.53,3124,190.36.51.201,8080,bad_HTTP_request,False,zeek,HTTP,
1428892911.198963,CM5Rsu2xWBCwitHGhk,192.168.0.53,3124,190.36.51.201,8080,line_terminated_with_single_CR,False,zeek,CONTENTLINE,
1428892911.51899,C5PCoh2WPPjOn36rs2,192.168.0.53,3125,50.56.242.72,80,bad_HTTP_request,False,zeek,HTTP,
1428892911.838917,C5PCoh2WPPjOn36rs2,192.168.0.53,3125,50.56.242.72,80,line_terminated_with_single_CR,False,zeek,CONTENTLINE,
1428892912.159506,CjWyhy4FeUPL4YXrvd,192.168.0.53,3126,181.134.158.237,80,bad_HTTP_request,False,zeek,HTTP,
1428892912.479575,CjWyhy4FeUPL4YXrvd,192.168.0.53,3126,181.134.158.237,80,line_terminated_with_single_CR,False,zeek,CONTENTLINE,
1428892917.759361,CwpieR2YMiwnfr0rq9,192.168.0.53,3127,107.131.28.185,80,bad_HTTP_request,False,zeek,HTTP,
1428892918.239221,CwpieR2YMiwnfr0rq9,192.168.0.53,3127,107.131.28.185,80,line_terminated_with_single_CR,False,zeek,CONTENTLINE,
1428892965.598798,CmyVDLy78HLRsZc9,192.168.0.53,3131,1.2.172.26,80,bad_HTTP_request,False,zeek,HTTP,
1428892973.552116,C9cFsf48gtFivCyrjl,192.168.0.53,3139,125.25.26.249,80,bad_HTTP_request,False,zeek,HTTP,
1428892973.552116,C9cFsf48gtFivCyrjl,192.168.0.53,3139,125.25.26.249,80,line_terminated_with_single_CR,False,zeek,CONTENTLINE,
1428893022.239252,CB9vPZ3Gbh5XsAE4o9,192.168.0.53,3174,71.95.164.42,8080,bad_HTTP_request,False,zeek,HTTP,
1428893023.119866,CsQ1Wz1ijPbk1CYfk2,192.168.0.53,3175,104.171.117.221,80,bad_HTTP_request,False,zeek,HTTP,
1428893029.457974,CJp7Kf3jeBDRMv3V12,192.168.0.53,3135,122.179.174.17,80,bad_HTTP_request,False,zeek,HTTP,
1428893040.140628,CIveTEKTLd1s4GNjd,192.168.0.53,3188,59.183.36.217,80,bad_HTTP_request,False,zeek,HTTP,
1428893049.441772,CAOl0y42xDaEj8LFq7,192.168.0.53,3197,62.12.74.14,80,bad_HTTP_request,False,zeek,HTTP,
1428893049.441772,CAOl0y42xDaEj8LFq7,192.168.0.53,3197,62.12.74.14,80,line_terminated_with_single_CR,False,zeek,CONTENTLINE,
1428893070.9584,CO9WKT3mO5cyWcB2f8,192.168.0.53,3168,182.53.85.215,80,bad_HTTP_request,False,zeek,HTTP,
1428893071.518733,CidTd536fRlWJ6Q4q1,192.168.0.53,3213,190.36.51.201,8080,bad_HTTP_request,False,zeek,HTTP,
1428893071.518733,CidTd536fRlWJ6Q4q1,192.168.0.53,3213,190.36.51.201,8080,line_terminated_with_single_CR,False,zeek,CONTENTLINE,
1428893149.598491,C4anKu2KUi9SlumCze,192.168.0.53,3284,180.215.159.146,80,bad_HTTP_request,False,zeek,HTTP,
1428893253.082813,C54xsh4P4AzlqBOLxa,31.186.68.90,51051,192.168.0.2,80,bad_HTTP_request,False,zeek,HTTP,
1428900474.334,C5Tx6V3MObNxf2Veg5,74.70.92.134,52096,192.168.0.2,80,bad_HTTP_request,False,zeek,HTTP,
1428902502.256411,CINYcf1DaAZcNgzlbl,192.168.0.51,34344,212.227.17.187,110,pop3_server_command_unknown,False,zeek,POP3,49
1428907653.83971,CJ16fz5oRCCdtVzu4,122.201.175.61,1032,192.168.0.2,80,bad_HTTP_request,False,zeek,HTTP,
1428907653.83971,CJ16fz5oRCCdtVzu4,122.201.175.61,1032,192.168.0.2,80,line_terminated_with_single_CR,False,zeek,CONTENTLINE,
1428911117.366227,CeaUsv2vvEGYj6eRw2,192.168.0.51,33974,63.245.216.134,443,window_recision,False,zeek,,
1428911237.232093,CcyM2WFz5i1uh9NJb,192.168.0.51,43504,63.245.216.132,443,window_recision,False,zeek,,
1428911688.349773,CQN1y41MDzzjKAXCM8,192.168.0.51,33988,63.245.216.134,443,window_recision,False,zeek,,
1428914563.754579,CohDcHljYvYqG7E48,192.168.0.53,3522,71.95.164.42,8080,bad_HTTP_request,False,zeek,HTTP,
1428914564.074018,CohDcHljYvYqG7E48,192.168.0.53,3522,71.95.164.42,8080,line_terminated_with_single_CR,False,zeek,CONTENTLINE,
1428914570.474707,ClYRu9D2DjzK0NNia,192.168.0.53,3525,190.36.51.201,8080,bad_HTTP_request,False,zeek,HTTP,
1428914619.434544,CVMjFf1VS9EpRcEiu4,192.168.0.53,3529,71.95.164.42,8080,line_terminated_with_single_CR,False,zeek,CONTENTLINE,
1428914619.43558,CVMjFf1VS9EpRcEiu4,192.168.0.53,3529,71.95.164.42,8080,bad_HTTP_request,False,zeek,HTTP,
1428914620.478347,CqgJ8716HJe4iCZcN4,192.168.0.53,3532,190.36.51.201,8080,bad_HTTP_request,False,zeek,HTTP,
1428914620.713926,CqgJ8716HJe4iCZcN4,192.168.0.53,3532,190.36.51.201,8080,line_terminated_with_single_CR,False,zeek,CONTENTLINE,
1428914667.693685,C5fMUH3GOIqDkggfe,192.168.0.53,3537,125.25.26.249,80,bad_HTTP_request,False,zeek,HTTP,
1428914667.693685,C5fMUH3GOIqDkggfe,192.168.0.53,3537,125.25.26.249,80,line_terminated_with_single_CR,False,zeek,CONTENTLINE,
1428914750.727563,CGGAdU1bJ6xsRlCbbh,192.168.0.53,3611,83.146.116.37,80,bad_HTTP_request,False,zeek,HTTP,
1428914755.754218,CtM5ePoxniur2TIif,192.168.0.53,3606,190.237.160.14,80,bad_HTTP_request,False,zeek,HTTP,
1428914756.553738,CQhLeH33XgP3bfrh9j,192.168.0.53,3617,12.25.99.131,80,bad_HTTP_request,False,zeek,HTTP,
1428914761.834639,C7LXo03pvlSf1AhxUg,192.168.0.53,3624,201.212.232.226,80,bad_HTTP_request,False,zeek,HTTP,
1428914761.834639,C7LXo03pvlSf1AhxUg,192.168.0.53,3624,201.212.232.226,80,line_terminated_with_single_CR,False,zeek,CONTENTLINE,
1428914771.434563,CS8VCfL0CwiNRQ6R9,192.168.0.53,3630,107.131.28.185,80,bad_HTTP_request,False,zeek,HTTP,
1428914874.473796,C9CgcJ2BmTGiQGb0Hj,86.173.212.223,63778,192.168.0.2,80,bad_HTTP_request,False,zeek,HTTP,
1428917487.821424,CTXUvxuHVatZgGpa,192.168.0.54,53147,216.58.209.134,80,inflate_failed,False,zeek,ZIP,
1428917565.122878,CeVMrv3Yyq0cwJTO7g,192.168.0.53,3682,192.168.0.1,8080,unknown_HTTP_method,False,zeek,,UNSUBSCRIBE
1428917565.140103,CY5w1M2v5asw1VdLy7,192.168.0.53,3683,192.168.0.1,8080,unknown_HTTP_method,False,zeek,,UNSUBSCRIBE
